 4    8   3    127.2         320      79.5      5.71
 4    8   4    126.9         278      77.0      2.98
 5    8   1    127.2         289      77.5      1.59
 5    8   2    127.2         283      77.3      2.62
 5    8   3    127.3         370      86.6      2.82
 5    8   4    127.3         355      84.1      3.30
 6    8   1    127.3         332      80.7      4.63
 6    8   2    127.0         292      77.5      1.21
 6    8   3    127.0         344      82.4      3.65
 6    8   4    126.9         307      78.4      7.06
 7    8   1    127.6         333      80.8      4.86
 7    8   2    127.6         337      81.3      4.59
 7    8   3    127.5         365      85.6      3.04
 7    8   4    127.2         295      77.7      1.18
 8    8   1    127.4         299      78.0      1.09
 8    8   2    127.3         286      77.4      2.16
 8    8   3    127.4         361      84.9      3.14
 8    8   4    127.1         366      86.2      2.85
 9    8   1    127.1         317      79.2      5.91
 9    8   2    126.8         332      80.9      4.21
 9    8   3    127.0         288      77.3      1.49
 9    8   4    127.1         346      82.7      3.64
 10   8   1    127.0         285      77.2      1.79
 10   8   2    127.0         328      80.3      4.70
 10   8   3    126.9         326      80.2      4.70
 10   8   4    127.0         290      77.4      1.31
 11   8   1    127.1         283      77.3      2.24
 11   8   2    126.9         356      84.4      3.09
 11   8   3    127.2         304      78.3      8.53
 11   8   4    127.3         305      78.3      8.51
 12   8   1    127.1         367      86.2      2.84
 12   8   2    127.1         279      77.1      3.34
 12   8   3    127.3         353      83.8      3.39
 12   8   4    127.4         349      83.1      3.63
 1    9   1    127.1         294      77.6      1.19
 1    9   2    127.2         351      83.5      3.45
 1    9   3    127.1         306      78.3      7.69
 1    9   4    126.6         302      77.9      7.56
 2    9   1    127.0         367      86.3      2.81
 2    9   2    127.1         294      77.6      1.15
 2    9   3    127.2         302      78.1      9.09
 2    9   4    127.0         361      85.3      2.96
 3    9   1    126.9         302      78.0      7.97
 3    9   2    126.4         285      76.8      1.25
 3    9   3    126.6         299      77.7      8.08
 3    9   4    126.0         280      76.4      1.34
 4    9   1    127.0         332      80.9      4.33
 4    9   2    127.2         292      77.6      1.33
 4    9   3    127.1         276      77.1      5.53
 4    9   4    126.8         287      77.2      1.38
 5    9   1    127           310      78.6      6.69
 5    9   2    126.8         346      82.9      3.44
 5    9   3    126.8         349      83.4      3.28
 5    9   4    126.6         331      80.8      4.09
 6    9   1    126.8         270      76.8      1.54
 6    9   2    126.9         293      77.5      1.14
 6    9   3    126.7         349      83.3      3.28
 6    9   4    126.5         347      83.2      3.24
 7    9   1    127.4         301      78.1      1.02
 7    9   2    127.0         317      79.2      5.72
 7    9   3    127.2         311      78.7      6.99
 7    9   4    127.1         319      79.4      5.66
 8    9   1    126.8         305      78.2      7.24
 8    9   2    127.3         288      77.5      1.78
 8    9   3    127.0         332      80.9      4.36
 8    9   4    126.5         286      77.0      1.27
 9    9   1    126.9         285      77.1      1.65
 9    9   2    127.2         280      77.2      3.15
 9    9   3    126.8         283      77.1      1.79
 9    9   4    126.9         358      84.9      3.01
 10   9   1    127.2         327      80.2      4.96
 10   9   2    127.2         358      84.7      3.16
 10   9   3    127.1         297      77.8      1.04
 10   9   4    127.2         321      79.6      5.55
 11   9   1    126.4         285      76.8      1.24
 11   9   2    126.8         343      82.5      3.57
 11   9   3    126.8         289      77.2      1.29
 11   9   4    126.4         270      76.4      4.83
 12   9   1    127.1         327      80.2      4.84
 12   9   2    127.0         354      84.1      3.21
 12   9   3    127.0         349      83.3      3.42
 12   9   4    126.7         366      86.5      2.69
 1    10  1    127.4         367      86.1      2.95
 1    10  2    127.6         319      79.5      6.47
 1    10  3    127.5         294      77.9      1.45
 1    10  4    127.1         329      80.5      4.65
 2    10  1    127.6         281      77.7      5.72
 2    10  2    127.3         338      81.6      4.19
 2    10  3    127.4         278      77.4      7.98
 2    10  4    127.2         347      82.8      3.65
 3    10  1    126.9         341      82.1      3.72
 3    10  2    127.4         314      79.0      6.89
 3    10  3    127.1         345      82.6      3.67
 3    10  4    126.8         273      76.8      5.43
 4    10  1    127           350      83.4      3.36
 4    10  2    127.2         315      79.0      6.35
 4    10  3    127.6         284      77.6      3.49
 4    10  4    127.1         369      86.8      2.75
 5    10  1    127.5         314      79.0      7.19
 5    10  2    127.5         353      83.6      3.54
 5    10  3    127.8         280      77.8      1.75
 5    10  4    127.1         319      79.4      5.69
 6    10  1    127.4         300      78.1      1.08
 6    10  2    127.5         314      79.0      7.10
 6    10  3    127.4         352      83.5      3.52
 6    10  4    127.0         335      81.2      4.17
 7    10  1    127.5         335      81.1      4.60
 7    10  2    127.7         278      77.7      3.70
 7    10  3    127.6         295      78.0      1.43
 7    10  4    127.1         355      84.2      3.21
 8    10  1    127.5         372      86.8      2.85
 8    10  2    127.5         308      78.6      8.52
 8    10  3    127.4         300      78.1      1.08
 8    10  4    126.9         357      84.6      3.06
 9    10  1    127.7         322      79.7      6.21
 9    10  2    127.8         314      79.1      7.77
 9    10  3    127.5         371      86.7      2.86
 9    10  4    127.1         328      80.4      4.70
 10   10  1    127.6         291      77.8      1.84
 10   10  2    127.5         285      77.6      2.57
 10   10  3    127.6         315      79.1      7.09
 10   10  4    127.3         325      80.0      5.28
 11   10  1    126.8         357      84.8      3.00
 11   10  2    127.0         313      78.8      6.31
 11   10  3    127.2         274      77.2      1.08
 11   10  4    126.7         273      76.8      4.31
 12   10  1    127.2         288      77.4      1.72
 12   10  2    127.5         294      77.9      1.47
 12   10  3    127.4         308      78.5      8.16
 12   10  4    126.6         328      80.4      4.34
 1    11  1    125.2         282      76.1      8.54
 1    11  2    126.1         325      80.2      4.05
 1    11  3    126.1         322      79.8      4.31
 1    11  4    125.8         272      76.0      1.89
 2    11  1    126.7         365      86.3      2.73
 2    11  2    126.2         271      76.2      2.81
 2    11  3    125.4         255      75.4      2.41
 2    11  4    126.2         354      84.7      2.86
 3    11  1    125.3         344      83.5      2.80
 3    11  2    125.6         332      81.3      3.37
 3    11  3    125.5         349      84.3      2.70
 3    11  4    125.6         315      79.0      4.35
 4    11  1    126.8         343      82.4      3.60
 4    11  2    126.4         357      85.0      2.84
 4    11  3    126.6         325      80.1      4.48
 4    11  4    126.7         305      78.1      6.97
 5    11  1    126.9         304      78.1      7.53
 5    11  2    125.7         292      77.0      7.24
 5    11  3    126.5         344      82.7      3.38
 5    11  4    127.0         336      81.4      4.09
 6    11  1    126.6         289      77.1      1.16
 6    11  2    126.1         349      83.9      2.96
